"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g2834","g2834",1.95503675778379,-1.07445329387867,3.18331852327806,0.00186592800686113,0.00910765794192917
"g5564","g5564",2.38807098629173,-1.32303378810003,3.18298598622188,0.00186748198476342,0.00911131252229404
"g20232","g20232",1.98499840780397,1.51911406110661,3.18289998779615,0.00186786613697732,0.00911131252229404
"g13672","g13672",-2.51619253809582,0.0841132995283228,-3.18278818904783,0.00186842075203554,0.00911131252229404
"g8610","g8610",1.28434466012563,5.07700670044979,3.18157593731369,0.00187400978352298,0.00913572483270781
"g19511","g19511",4.25631030175499,1.77251868128616,3.18371520237783,0.00187547874889039,0.00914004304457681
"g2980","g2980",1.65909909653952,-0.321511545918769,3.18097005404224,0.00187682767148293,0.00914377373178486
"g3466","g3466",-2.00508940652832,7.68557547759614,-3.18073254087987,0.00187793370169295,0.00914631911331063
"g5458","g5458",-1.99554306887799,3.46826534673528,-3.18034851008549,0.00187972286729446,0.00915218903358373
"g9603","g9603",1.69298379810504,3.46205539678724,3.1800722494926,0.00188101073566317,0.0091556152981518
"g15175","g15175",3.29903758141282,-2.52277170213679,3.17870942765502,0.00188875600158147,0.00919046035789703
"g3910","g3910",-1.74007452256625,-0.475282340904631,-3.17759564742834,0.00189259623967706,0.00920628828816219
"g5425","g5425",-1.39505755816326,3.45774271165374,-3.17646411220603,0.00189791232434383,0.00922659153803374
"g19747","g19747",-1.24159958134448,5.47769332971727,-3.17645663583492,0.00189794749688131,0.00922659153803374
"g2608","g2608",1.70482386518688,2.81203535890339,3.17305394160117,0.00191402060522685,0.00930184339402181
"g19891","g19891",1.60585375538668,2.94112927791492,3.17281169465341,0.00191516986309369,0.00930454347931412
"g20880","g20880",-2.13903014916611,-0.914134109863207,-3.17224160923773,0.00191787856181057,0.00931261420401233
"g1109","g1109",-1.40023158534379,5.43348541575415,-3.17218097820834,0.00191816519482333,0.00931261420401233
"g20182","g20182",3.85638056837702,-1.89074140037994,3.17330674349203,0.00191861361990403,0.00931261420401233
"g2744","g2744",-2.29582914206989,7.50363169779493,-3.17112324989274,0.00192320570418284,0.0093320133132067
"g17290","g17290",1.601145175138,3.35108618402211,3.17025819088448,0.00192732448337083,0.00934910449640081
"g6874","g6874",2.06628075227393,2.50270820835167,3.16975227560079,0.00192974205940078,0.00935793542604839
"g16532","g16532",-1.47699119781632,1.55510967944459,-3.16703336783279,0.00194278044537173,0.0094182486607829
"g184","g184",4.65844102452778,-0.297771144247648,3.17025850450956,0.00194857844640416,0.00944343537120977
"g7304","g7304",1.64004922567303,1.14212840625425,3.1633233816981,0.00196070892473823,0.0094992862372248
"g2825","g2825",2.45522476252586,-1.11625937712184,3.16228743000271,0.00196577047336653,0.00952086546015871
"g17344","g17344",2.83034192598375,-1.09420127743432,3.16129896808959,0.00197080518988769,0.00954150311339026
"g9938","g9938",1.57057041796897,5.0025981547341,3.16115744970802,0.00197124909597127,0.00954150311339026
"g16878","g16878",1.55137111398131,5.27854553633535,3.16002664275586,0.00197677358228452,0.00956528939646351
"g17667","g17667",1.51230930780871,4.37488821842791,3.15740730215711,0.00198962734532821,0.00962451524176821
