	A	Coef	t	P.value	F	F.p.value	Results	genes
g12962	6.62395871223297	-0.841886851471013	0	0.985774450062744	152.465183426413	1.9793747012379e-12	0	g12962
g12963	5.09145049875875	3.06420537921064	4.10762995585852	0.000174264630481219	37.1802713597648	1.85250189595454e-06	1	g12963
g12964	-1.0048709723938	1.43180413825264	0.793857210600774	0.217270837952905	6.92912528711482	0.0140307960512216	0	g12964
g12965	-0.906144590856234	0.914374996387775	0	0.654398762110452	18.3962871012004	0.000216177828126613	0	g12965
g12966	4.09925299327097	-0.98443605233581	0	0.561392025363453	97.3808887379463	2.57095697452454e-10	0	g12966
g12967	5.663133752272	-0.662458581215241	0	0.999999188603962	145.632181413837	3.3098635259757e-12	0	g12967
g12968	3.4325645429771	0.172127081534573	0	0.99999999999919	6.70896753331337	0.0154647561746091	0	g12968
g12969	5.68061228042026	-0.238536047367575	0	0.9999999999981	14.1153660385784	0.00086956638231902	0	g12969
g1297	4.69895232634049	-0.0638660879344322	0	0.999999999266899	0.379546312767711	0.543160369798468	0	g1297
g12970	1.51811053033955	0.132444500883675	0	0.99992929592058	0.459251501073372	0.503913231429872	0	g12970
g12971	-0.718813374166695	0.920521178692347	0	0.624885831748254	13.8828673273279	0.000942297463385182	0	g12971
g12972	2.24294464693548	-0.328268786857834	0	0.999973736935393	5.55653313231421	0.0261547811548041	0	g12972
g12973	2.37208831584992	2.31159387849604	2.23345538286653	0.0171362643239795	15.4945465664361	0.000545729006409868	0	g12973
g12974	-2.82457963714559	4.09516026897783	7.04941584208786	8.31815770420144e-08	86.9924941483858	8.21723609470404e-10	1	g12974
g12975	-0.26761816122701	2.84529736216818	6.05266409106658	1.04017429110819e-06	87.0995166829995	8.11505590282061e-10	1	g12975
g12976	2.29476708025973	2.93708731396283	7.10351576204907	7.27542717171609e-08	116.006418251466	4.02097699990531e-11	1	g12976
g12977	3.65621388035107	-0.293025885505037	0	0.99999999997913	19.8600578501002	0.000138922539805709	0	g12977
g1298	2.85385298179002	-0.110378748040113	0	0.99999987018175	0.725234689469286	0.402146907577473	0	g1298
g1299	5.77315698541114	-0.0284588517052429	0	1	0.581691519939186	0.452460495985125	0	g1299
g12990	-1.00829318305492	1.95841544462145	3.1059592283778	0.00225896024147885	40.2803786645665	9.76684761077047e-07	1	g12990
