"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g10793","g10793",-4.45555304366324,1.13618374834886,-6.07690728625392,1.28323023782694e-06,3.0493388756676e-05
"g2103","g2103",-3.92658690398774,1.39152063585998,-6.06859897598228,1.30968100182699e-06,3.10825431686762e-05
"g9431","g9431",4.31417636198829,-1.06704875942479,6.06530467314045,1.3206592696255e-06,3.130346478661e-05
"g23067","g23067",-3.90053516841547,0.370661721858674,-6.06311121863702,1.32766251982318e-06,3.14297280103091e-05
"g7925","g7925",-2.43912529761473,0.892239006932144,-6.06220762387646,1.33052856467382e-06,3.14578563166072e-05
"g11727","g11727",11.8303334433562,-1.67115345682405,6.08454991181916,1.34155688054269e-06,3.16786523341246e-05
"g15035","g15035",2.87758051321086,-0.687865194137353,6.04755043973558,1.37992875377566e-06,3.25437537164022e-05
"g8404","g8404",-2.4964845932776,2.7849833818579,-6.03791933502465,1.41339688780415e-06,3.32692783669575e-05
"g13198","g13198",2.11421754725072,1.74988130727579,6.03767924890133,1.41424155200091e-06,3.32692783669575e-05
"g423","g423",-2.99006074703559,0.867568815430153,-6.03605885050765,1.41996060011041e-06,3.33619565056016e-05
"g6126","g6126",5.82423458920487,0.711441442832343,6.03342004261472,1.43341671338566e-06,3.36359573958294e-05
"g18746","g18746",-2.89797714621964,2.23803779195633,-6.0293965917283,1.44370481344371e-06,3.38350269340701e-05
"g1482","g1482",-5.01067701535145,2.34507121667102,-6.02260624601177,1.46975003772654e-06,3.44024262888076e-05
"g3957","g3957",-2.04700116312859,2.61108562119741,-6.02006966233827,1.47762506516841e-06,3.45202253225587e-05
"g746","g746",7.23060381905181,2.77422533622084,6.02386645208115,1.47846503461596e-06,3.45202253225587e-05
"g7294","g7294",6.25654002767964,-0.628360918605178,6.01531604482623,1.5020294374282e-06,3.50268033859967e-05
"g13733","g13733",7.40028316509622,2.67847388401451,6.01700129265151,1.5058575220148e-06,3.5072450534479e-05
"g1441","g1441",5.82243083868757,3.35307037503958,6.01160097253658,1.51350650900266e-06,3.52068654308819e-05
"g23415","g23415",5.55468595812534,-2.85090089654184,5.99795386683206,1.56465840411815e-06,3.6351648598279e-05
"g17293","g17293",2.07406403545962,3.79786665513174,5.99488574071116,1.57332274009045e-06,3.65077079875692e-05
"g20290","g20290",-4.47024172410533,-3.14267536650022,-5.99453449245295,1.57529231018184e-06,3.65082268524096e-05
"g231","g231",2.13478798989858,3.15175483864485,5.99251580969217,1.58264643139878e-06,3.66333801756738e-05
"g13818","g13818",-3.29343358783704,1.36262304446927,-5.99027933362428,1.59151550170824e-06,3.67932480166804e-05
"g10564","g10564",-3.47472354580506,5.14857258852153,-5.989097001164,1.59623441112485e-06,3.68568952883988e-05
