	A	Coef	t	P.value	F	F.p.value	Results	genes
g8666	4.17503	-0.606817	0	0.999984	59.78323	3.155283e-08	0	g8666
g8667	-1.854258	-1.422738	-1.085335	0.1438288	13.34241	0.001138126	0	g8667
g867	5.306367	0.9467668	0	0.7151554	104.8584	1.182383e-10	0	g867
g8672	-0.01311277	-0.8273937	0	0.8340515	22.45718	6.574311e-05	0	g8672
g8676	4.473248	-0.807147	0	0.9735147	71.95633	5.434225e-09	0	g8676
g8677	3.186411	-0.06858203	0	1	1.150802	0.2931602	0	g8677
g8678	4.746325	-2.363502	-7.978759	8.776718e-09	191.2807	1.484903e-13	-1	g8678
g8679	-1.643997	-3.289329	-5.864583	1.694256e-06	71.00231	6.186187e-09	-1	g8679
g868	3.343683	-0.02512925	0	1	0.08402692	0.7741937	0	g868
g8681	6.432098	-1.510867	-5.765529	2.193153e-06	290.7472	1.046984e-15	-1	g8681
g8682	0.9639782	1.887599	5.049632	1.442835e-05	115.3202	4.286244e-11	1	g8682
g8683	3.06439	2.969239	7.023222	8.875977e-08	112.1415	5.786245e-11	1	g8683
g8684	1.392735	3.402861	8.810241	1.291156e-09	155.6706	1.565779e-12	1	g8684
g8685	3.685415	2.906328	9.025188	7.984921e-10	189.3243	1.672513e-13	1	g8685
g8686	4.485541	-1.559535	-6.126893	8.587434e-07	291.6194	1.009838e-15	-1	g8686
g8690	2.642821	-1.732228	-1.227691	0.1152879	8.435208	0.00737994	0	g8690
g8691	-0.2522919	-0.9788364	0	0.5361163	17.92124	0.000250395	0	g8691
g8692	2.518768	-1.06123	-0.6475911	0.2614411	125.9769	1.643542e-11	0	g8692
g8694	4.327737	-0.6885108	0	0.9968429	43.06634	5.638103e-07	0	g8694
g8695	0.6878105	-2.079356	-5.54915	3.863898e-06	114.2829	4.723625e-11	-1	g8695
g8696	7.449132	-0.4995371	0	1	87.24696	7.976517e-10	0	g8696
g8697	4.604444	-0.5137558	0	0.9999816	27.43217	1.755505e-05	0	g8697
g8698	1.217002	2.588917	4.753423	3.163014e-05	59.98558	3.058161e-08	1	g8698
